theory,C1,C2,C3,C4,C5,C6,HD
b1b95,1.0310,1.0081,1.0017,1.0015,1.0065,0.9977,1.3278
b3lyp_d3bj,1.0267,1.0075,1.0023,1.0022,1.0064,0.9984,1.3195
b971,1.0177,1.0086,1.0020,1.0019,1.0072,0.9990,1.3911
b972,1.0137,1.0104,1.0020,1.0014,1.0080,0.9988,1.6047
b97d,1.0299,1.0049,1.0020,1.0028,1.0064,0.9969,1.2048
b97d3,1.0223,1.0064,1.0022,1.0023,1.0060,0.9978,1.3276
b98,1.0176,1.0087,1.0020,1.0019,1.0071,0.9989,1.3943
bhandh,1.0647,1.0062,1.0026,1.0023,1.0041,0.9984,1.1277
bp86_d3bj,1.0300,1.0065,1.0022,1.0024,1.0052,0.9981,1.3398
cam_b3lyp_d3bj,1.0336,1.0082,1.0023,1.0018,1.0057,0.9984,1.2505
lcwpbe_d3bj,1.0469,1.0085,1.0024,1.0012,1.0049,0.9986,1.2571
m062x,1.0488,1.0072,1.0028,1.0018,1.0050,0.9986,1.1226
m062x_d3,1.0497,1.0072,1.0031,1.0018,1.0046,0.9984,1.1700
m06_hf_d3,1.0775,1.0053,1.0024,1.0010,1.0018,0.9980,1.0203
m06l_d3,1.0283,1.0072,1.0036,1.0021,1.0059,0.9978,1.4490
m11,1.0444,1.0063,1.0034,1.0016,1.0042,0.9984,1.1460
mpw1pbe,1.0303,1.0097,1.0022,1.0015,1.0061,0.9984,1.4264
mpw1pw91,1.0290,1.0096,1.0022,1.0015,1.0063,0.9985,1.4277
mpw3pbe,1.0287,1.0095,1.0021,1.0015,1.0061,0.9984,1.4273
n12sx,1.0357,1.0090,1.0025,1.0016,1.0049,0.9986,1.3010
pbe0_d3bj,1.0421,1.0080,1.0023,1.0015,1.0048,0.9980,1.2757
tpsstpss_d3bj,1.0315,1.0065,1.0023,1.0022,1.0044,0.9982,1.3165
